Fecha,Concepto,Energia_Dia_kWh,Inc_Dia_Porc,Energia_Mes_kWh,Inc_Mes_Porc,Energia_Año_kWh,Inc_Año_Porc,Ultimos_365_Dias_kWh
2026/03/11,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/11,Total Exportación,"129,962.596",2.444,"1,268,029.099",11.420,"5,772,422.962",2.303,"164,500,252.949"
2026/03/11,Demanda Distribución,"97,726,543.941",2.212,"1,001,814,356.387",10.809,"6,241,982,000.819",1.591,"31,348,741,040.221"
2026/03/11,Total Pérdidas Transporte,"6,105,622.758",56.073,"8,084,965.698",308.467,"136,140,464.864",4.695,"1,371,086,596.617"
2026/03/12,Generación Hidráulica,"100,374,179.398",5.655,"983,403,038.546",11.367,"5,592,622,292.766",1.828,"29,734,971,360.973"
2026/03/12,Generación Vapor Bunker,"5,879,882.332",-10.228,"79,918,481.057",7.942,"451,895,090.391",1.318,"1,531,888,028.366"
2026/03/12,Generación Turbinas a Gas,"1,534,901.770",4.730,"19,799,819.751",8.404,"111,503,732.061",1.396,"469,697,017.565"
2026/03/12,Generación Turbinas a Diesel,"761,351.746",-5.148,"35,212,938.617",2.210,"206,672,365.728",0.370,"652,114,276.263"
2026/03/12,Generación Motores Bunker,"2,622,621.745",-55.297,"92,924,508.135",2.904,"526,609,970.341",0.501,"1,627,708,990.681"
2026/03/12,Generación de Otros Tipos,"186,052.370",-30.454,"4,091,258.945",4.764,"25,131,782.950",0.746,"666,241,266.338"
2026/03/12,Total Generación,"111,358,989.361",1.277,"1,215,350,045.051",10.087,"6,914,435,234.237",1.637,"34,682,620,940.186"
2026/03/12,Importación de Colombia,"140,951.623",-0.702,"1,524,321.310",10.189,"129,892,622.751",0.109,"497,896,733.481"
2026/03/12,Importación de Perú,0.000,0.000,18.772,0.000,51.817,0.000,51.833
2026/03/12,Total Importación,"140,951.623",-0.702,"1,524,340.082",10.189,"129,892,674.568",0.109,"497,896,785.314"
2026/03/12,Exportación a Colombia,"125,236.577",-3.636,"1,393,265.676",9.876,"5,897,659.539",2.170,"158,488,608.413"
2026/03/12,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/12,Total Exportación,"125,236.577",-3.636,"1,393,265.676",9.876,"5,897,659.539",2.170,"158,990,811.349"
2026/03/12,Demanda Distribución,"97,738,310.857",0.012,"1,099,552,667.244",9.756,"6,339,720,311.676",1.566,"31,355,206,937.867"
2026/03/12,Total Pérdidas Transporte,"10,827,719.435",77.340,"18,912,685.133",133.924,"146,968,184.299",7.953,"1,372,369,719.265"
2026/03/13,Generación Hidráulica,"102,099,364.901",1.719,"1,085,502,403.447",10.382,"5,694,721,657.667",1.826,"29,750,367,900.423"
2026/03/13,Generación Vapor Bunker,"5,012,933.848",-14.744,"84,931,414.905",6.273,"456,908,024.239",1.109,"1,532,133,144.181"
2026/03/13,Generación Turbinas a Gas,"1,266,683.086",-17.475,"21,066,502.837",6.397,"112,770,415.147",1.136,"469,378,649.851"
2026/03/13,Generación Turbinas a Diesel,"763,850.861",0.328,"35,976,789.478",2.169,"207,436,216.589",0.370,"649,340,650.515"
2026/03/13,Generación Motores Bunker,"1,440,076.661",-45.090,"94,364,584.796",1.550,"528,050,047.002",0.273,"1,626,490,054.314"
2026/03/13,Generación de Otros Tipos,"228,136.194",22.619,"4,319,395.139",5.576,"25,359,919.144",0.908,"666,329,672.233"
2026/03/13,Total Generación,"110,811,045.551",-0.492,"1,326,161,090.602",9.118,"7,025,246,279.788",1.603,"34,694,040,071.517"
2026/03/13,Importación de Colombia,"135,925.125",-3.566,"1,660,246.435",8.917,"130,028,547.876",0.105,"495,677,220.182"
2026/03/13,Importación de Perú,4.902,100.000,23.674,26.113,56.719,9.460,56.735
2026/03/13,Total Importación,"135,930.027",-3.563,"1,660,270.109",8.917,"130,028,604.595",0.105,"495,677,276.917"
2026/03/13,Exportación a Colombia,"124,604.633",-0.505,"1,517,870.309",8.943,"6,022,264.172",2.113,"155,314,771.840"
2026/03/13,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/13,Total Exportación,"124,604.633",-0.505,"1,517,870.309",8.943,"6,022,264.172",2.113,"155,816,974.776"
2026/03/13,Demanda Distribución,"98,174,557.880",0.446,"1,197,727,225.124",8.929,"6,437,894,869.556",1.549,"31,364,375,676.390"
2026/03/13,Total Pérdidas Transporte,"10,979,600.210",1.403,"29,892,285.343",58.054,"157,947,784.509",7.471,"1,376,704,970.721"
2026/03/14,Generación Hidráulica,"97,701,355.712",-4.308,"1,183,203,759.159",9.001,"5,792,423,013.379",1.716,"29,754,174,040.746"
2026/03/14,Generación Vapor Bunker,"2,927,289.833",-41.605,"87,858,704.738",3.447,"459,835,314.072",0.641,"1,530,618,953.698"
2026/03/14,Generación Turbinas a Gas,"1,372,911.856",8.386,"22,439,414.693",6.517,"114,143,327.003",1.217,"469,457,745.479"
2026/03/14,Generación Turbinas a Diesel,"593,516.250",-22.299,"36,570,305.728",1.650,"208,029,732.839",0.286,"646,932,561.781"
2026/03/14,Generación Motores Bunker,"1,712,894.666",18.945,"96,077,479.462",1.815,"529,762,941.668",0.324,"1,627,544,257.934"
2026/03/14,Generación de Otros Tipos,"207,280.469",-9.142,"4,526,675.608",4.799,"25,567,199.613",0.817,"666,413,444.852"
2026/03/14,Total Generación,"104,515,248.786",-5.682,"1,430,676,339.388",7.881,"7,129,761,528.574",1.488,"34,695,141,004.490"
2026/03/14,Importación de Colombia,"113,431.973",-16.548,"1,773,678.408",6.832,"130,141,979.849",0.087,"495,743,011.418"
2026/03/14,Importación de Perú,1.436,-70.706,25.110,6.066,58.155,2.532,58.171
2026/03/14,Total Importación,"113,433.409",-16.550,"1,773,703.518",6.832,"130,142,038.004",0.087,"495,743,069.589"
2026/03/14,Exportación a Colombia,"145,109.055",16.456,"1,662,979.364",9.560,"6,167,373.227",2.410,"152,447,323.195"
2026/03/14,Exportación a Perú,0.000,0.000,0.000,0.000,0.000,0.000,"502,202.936"
2026/03/14,Total Exportación,"145,109.055",16.456,"1,662,979.364",9.560,"6,167,373.227",2.410,"152,949,526.131"
2026/03/14,Demanda Distribución,"91,922,209.187",-6.369,"1,289,649,434.311",7.675,"6,529,817,078.743",1.428,"31,364,916,968.114"
2026/03/14,Total Pérdidas Transporte,"10,641,188.818",-3.082,"40,533,474.161",35.598,"168,588,973.327",6.737,"1,379,059,877.048"
2026/03/15,Generación Hidráulica,"92,976,007.987",-4.837,"1,276,179,767.146",7.858,"5,885,399,021.366",1.605,"29,761,075,399.945"
2026/03/15,Generación Vapor Bunker,"2,507,176.093",-14.352,"90,365,880.831",2.854,"462,342,490.165",0.545,"1,529,228,442.636"
2026/03/15,Generación Turbinas a Gas,"1,327,807.642",-3.285,"23,767,222.335",5.917,"115,471,134.645",1.163,"469,256,589.231"
